# key	a	b	extra
ext4	0x0	0x0	kernel/ext4.ko.zst
jbd2	0x0	0x0	kernel/jbd2.ko.zst
mbcache	0x0	0x0	kernel/mbcache.ko.zst
crc32c_intel	0x0	0x0	kernel/crc32c_intel.ko.zst
virtio_net	0x0	0x0	kernel/virtio_net.ko.zst
virtio_blk	0x0	0x0	kernel/virtio_blk.ko.zst
nf_tables	0x0	0x0	kernel/nf_tables.ko.zst
nf_conntrack	0x0	0x0	kernel/nf_conntrack.ko.zst
xt_conntrack	0x0	0x0	kernel/xt_conntrack.ko.zst
br_netfilter	0x0	0x0	kernel/br_netfilter.ko.zst
overlay	0x0	0x0	kernel/overlay.ko.zst
tcp_bbr	0x0	0x0	kernel/tcp_bbr.ko.zst
snd	0x0	0x0	kernel/snd.ko.zst
soundcore	0x0	0x0	kernel/soundcore.ko.zst
usbhid	0x0	0x0	kernel/usbhid.ko.zst
hid	0x0	0x0	kernel/hid.ko.zst
psmouse	0x0	0x0	kernel/psmouse.ko.zst
floppy	0x0	0x0	kernel/floppy.ko.zst
vboxdrv	0x0	0x0	kernel/vboxdrv.ko.zst
nvidia	0x0	0x0	kernel/nvidia.ko.zst
dummy_mod	0x0	0x0	kernel/dummy_mod.ko.zst
loop	0x0	0x0	kernel/loop.ko.zst
veth	0x0	0x0	kernel/veth.ko.zst
bridge	0x0	0x0	kernel/bridge.ko.zst
8021q	0x0	0x0	kernel/8021q.ko.zst
ip_tables	0x0	0x0	kernel/ip_tables.ko.zst
x_tables	0x0	0x0	kernel/x_tables.ko.zst
fuse	0x0	0x0	kernel/fuse.ko.zst
