# key	a	b	extra
filldir	0xffffffff81324700	0x0	f30f1efae800001234554889e5415741564155415453
filldir64	0xffffffff81324800	0x0	f30f1efae800001235554889e5415741564155415453
iterate_dir	0xffffffff81324300	0x0	f30f1efae800001236554889e5415741564155415453
tcp4_seq_show	0xffffffff81a55100	0x0	f30f1efae800001237554889e5415741564155415453
tcp6_seq_show	0xffffffff81b02200	0x0	f30f1efae800001238554889e5415741564155415453
udp4_seq_show	0xffffffff81a80300	0x0	f30f1efae800001239554889e5415741564155415453
udp6_seq_show	0xffffffff81b10400	0x0	f30f1efae80000123a554889e5415741564155415453
proc_pid_readdir	0xffffffff8137a500	0x0	f30f1efae80000123b554889e5415741564155415453
vfs_read	0xffffffff812f3f00	0x0	f30f1efae80000123c554889e5415741564155415453
commit_creds	0xffffffff810c0900	0x0	f30f1efae80000123d554889e5415741564155415453
__x64_sys_newfstatat	0xffffffff81308f00	0x0	f30f1efae80000123e554889e5415741564155415453
__x64_sys_init_module	0xffffffff811a0100	0x0	f30f1efae80000123f554889e5415741564155415453
__x64_sys_finit_module	0xffffffff811a0300	0x0	f30f1efae800001240554889e5415741564155415453
__x64_sys_delete_module	0xffffffff811a0500	0x0	f30f1efae800001241554889e5415741564155415453
