# key	a	b	extra
0xffffffffc0100000	0xffffffffc0100000	0xd6000	syms=30
0xffffffffc01e0000	0xffffffffc01e0000	0x25000	syms=31
0xffffffffc0210000	0xffffffffc0210000	0x5000	syms=32
0xffffffffc0220000	0xffffffffc0220000	0x5000	syms=33
0xffffffffc0230000	0xffffffffc0230000	0x2b000	syms=34
0xffffffffc0270000	0xffffffffc0270000	0x9000	syms=35
0xffffffffc0290000	0xffffffffc0290000	0x9b000	syms=36
0xffffffffc0340000	0xffffffffc0340000	0x126000	syms=37
0xffffffffc0490000	0xffffffffc0490000	0x5000	syms=38
0xffffffffc04a0000	0xffffffffc04a0000	0x1d000	syms=39
0xffffffffc04d0000	0xffffffffc04d0000	0x22000	syms=40
0xffffffffc0500000	0xffffffffc0500000	0x9000	syms=41
0xffffffffc0a00000	0xffffffffc0a00000	0x8000	syms=14
0xffffffffc0b00000	0xffffffffc0b00000	0x201000	syms=7
0xffffffffc0c00000	0xffffffffc0c00000	0x2000	syms=1
0xffffffffc0600000	0xffffffffc0600000	0x6000	syms=0
