# key	a	b	extra
0xffffffffc0100000	0xffffffffc0100000	0xd6000	move_module+0x1a4/0x3c0
0xffffffffc01e0000	0xffffffffc01e0000	0x25000	move_module+0x1a4/0x3c0
0xffffffffc0210000	0xffffffffc0210000	0x5000	move_module+0x1a4/0x3c0
0xffffffffc0220000	0xffffffffc0220000	0x5000	move_module+0x1a4/0x3c0
0xffffffffc0230000	0xffffffffc0230000	0x2b000	move_module+0x1a4/0x3c0
0xffffffffc0270000	0xffffffffc0270000	0x9000	move_module+0x1a4/0x3c0
0xffffffffc0290000	0xffffffffc0290000	0x9b000	move_module+0x1a4/0x3c0
0xffffffffc0340000	0xffffffffc0340000	0x126000	move_module+0x1a4/0x3c0
0xffffffffc0490000	0xffffffffc0490000	0x5000	move_module+0x1a4/0x3c0
0xffffffffc04a0000	0xffffffffc04a0000	0x1d000	move_module+0x1a4/0x3c0
0xffffffffc04d0000	0xffffffffc04d0000	0x22000	move_module+0x1a4/0x3c0
0xffffffffc0500000	0xffffffffc0500000	0x9000	move_module+0x1a4/0x3c0
0xffffffffc0800000	0xffffffffc0800000	0x8000	move_module+0x1a4/0x3c0
