# key	a	b	extra
/	0x17	0x15	fs=ok
/bin.usr-is-merged	0x2	0x0	fs=ok
/boot	0x5	0x3	fs=ok
/dev	0x12	0x10	fs=ok
/dev/shm	0x2	0x0	fs=ok
/etc	0x8b	0x89	fs=ok
/home	0x5	0x3	fs=ok
/home/linuxbrew	0x3	0x1	fs=ok
/home/packer	0xa	0x8	fs=ok
/home/runner	0xb	0x9	fs=ok
/imagegeneration	0x6	0x4	fs=ok
/lib.usr-is-merged	0x2	0x0	fs=ok
/lib/modules	0x3	0x1	fs=ok
/lost+found	0x2	0x0	fs=ok
/media	0x2	0x0	fs=ok
/mnt	0x2	0x0	fs=ok
/opt	0xe	0xc	fs=ok
/root	0x13	0x11	fs=ok
/run	0x20	0x1e	fs=ok
/sbin.usr-is-merged	0x2	0x0	fs=ok
/snap	0x2	0x0	fs=ok
/srv	0x2	0x0	fs=ok
/tmp	0xe	0xc	fs=ok
/tmp/snap-private-tmp	0x2	0x0	fs=ok
/tmp/systemd-private-6d187082ea934a8b910bb003aed697df-ModemManager.service-cLw8rE	0x3	0x1	fs=ok
/tmp/systemd-private-6d187082ea934a8b910bb003aed697df-chrony.service-J7muJS	0x3	0x1	fs=ok
/tmp/systemd-private-6d187082ea934a8b910bb003aed697df-haveged.service-Y2D0r8	0x3	0x1	fs=ok
/tmp/systemd-private-6d187082ea934a8b910bb003aed697df-polkit.service-AJINen	0x3	0x1	fs=ok
/tmp/systemd-private-6d187082ea934a8b910bb003aed697df-systemd-logind.service-C8bMBo	0x3	0x1	fs=ok
/tmp/systemd-private-6d187082ea934a8b910bb003aed697df-systemd-resolved.service-XMOmEP	0x3	0x1	fs=ok
/tmp/systemd-private-6d187082ea934a8b910bb003aed697df-systemd-timedated.service-tEsQG3	0x3	0x1	fs=ok
/usr	0xd	0xb	fs=ok
/usr/bin	0x2	0x0	fs=ok
/usr/lib	0x6b	0x69	fs=ok
/usr/local	0x12	0x10	fs=ok
/usr/local/bin	0x2	0x0	fs=ok
/usr/local/lib	0x5	0x3	fs=ok
/usr/sbin	0x2	0x0	fs=ok
/var	0xe	0xc	fs=ok
/var/lib	0x45	0x43	fs=ok
/var/log	0x10	0xe	fs=ok
/var/tmp	0xa	0x8	fs=ok
/var/tmp/cloud-init	0x2	0x0	fs=ok
/var/tmp/systemd-private-6d187082ea934a8b910bb003aed697df-ModemManager.service-T9XU6M	0x3	0x1	fs=ok
/var/tmp/systemd-private-6d187082ea934a8b910bb003aed697df-chrony.service-yMhhNz	0x3	0x1	fs=ok
/var/tmp/systemd-private-6d187082ea934a8b910bb003aed697df-haveged.service-MHdFF6	0x3	0x1	fs=ok
/var/tmp/systemd-private-6d187082ea934a8b910bb003aed697df-polkit.service-nIwCxs	0x3	0x1	fs=ok
/var/tmp/systemd-private-6d187082ea934a8b910bb003aed697df-systemd-logind.service-cK0TbO	0x3	0x1	fs=ok
/var/tmp/systemd-private-6d187082ea934a8b910bb003aed697df-systemd-resolved.service-wvoO6a	0x3	0x1	fs=ok
/var/tmp/systemd-private-6d187082ea934a8b910bb003aed697df-systemd-timedated.service-6HBY6e	0x3	0x1	fs=ok
