# key	a	b	extra   (pruned from 195,307 real symbols to those the checks resolve)
_stext	0xffffffffa8a00000	0x0	
_text	0xffffffffa8a00000	0x0	
__do_sys_rt_sigreturn	0xffffffffa8cbcf00	0x0	
__ia32_sys_rt_sigreturn	0xffffffffa8cbcf00	0x0	
__x64_sys_rt_sigreturn	0xffffffffa8cbcf00	0x0	
__x64_sys_iopl	0xffffffffa8cc2490	0x0	
__x64_sys_ioperm	0xffffffffa8cc2860	0x0	
__x64_sys_modify_ldt	0xffffffffa8cc4e90	0x0	
__x64_sys_mmap	0xffffffffa8cc78f0	0x0	
__do_sys_ni_syscall	0xffffffffa8ccfb70	0x0	
__ia32_sys_ni_syscall	0xffffffffa8ccfb70	0x0	
__x64_sys_ni_syscall	0xffffffffa8ccfb70	0x0	
__x64_sys_arch_prctl	0xffffffffa8ccfef0	0x0	
kprobe_ftrace_handler	0xffffffffa8d1a860	0x0	
__do_sys_uretprobe	0xffffffffa8d21aa0	0x0	
__ia32_sys_uretprobe	0xffffffffa8d21aa0	0x0	
__x64_sys_uretprobe	0xffffffffa8d21aa0	0x0	
__x64_sys_map_shadow_stack	0xffffffffa8d24f00	0x0	
__x64_sys_set_tid_address	0xffffffffa8d517c0	0x0	
__do_sys_fork	0xffffffffa8d550e0	0x0	
__ia32_sys_fork	0xffffffffa8d550e0	0x0	
__x64_sys_fork	0xffffffffa8d550e0	0x0	
__do_sys_vfork	0xffffffffa8d55150	0x0	
__ia32_sys_vfork	0xffffffffa8d55150	0x0	
__x64_sys_vfork	0xffffffffa8d55150	0x0	
__x64_sys_clone	0xffffffffa8d55270	0x0	
__x64_sys_clone3	0xffffffffa8d55430	0x0	
__x64_sys_unshare	0xffffffffa8d55ad0	0x0	
__x64_sys_personality	0xffffffffa8d55bd0	0x0	
__x64_sys_exit	0xffffffffa8d5d740	0x0	
__x64_sys_exit_group	0xffffffffa8d5d980	0x0	
__x64_sys_waitid	0xffffffffa8d5e1c0	0x0	
__x64_sys_wait4	0xffffffffa8d5e5e0	0x0	
__x64_sys_capget	0xffffffffa8d65d80	0x0	
__x64_sys_capset	0xffffffffa8d65fd0	0x0	
__x64_sys_ptrace	0xffffffffa8d67850	0x0	
__do_sys_restart_syscall	0xffffffffa8d692e0	0x0	
__ia32_sys_restart_syscall	0xffffffffa8d692e0	0x0	
__x64_sys_restart_syscall	0xffffffffa8d692e0	0x0	
__do_sys_pause	0xffffffffa8d69d70	0x0	
__ia32_sys_pause	0xffffffffa8d69d70	0x0	
__x64_sys_pause	0xffffffffa8d69d70	0x0	
__x64_sys_rt_sigpending	0xffffffffa8d6b180	0x0	
__x64_sys_rt_sigsuspend	0xffffffffa8d6b710	0x0	
__x64_sys_rt_sigprocmask	0xffffffffa8d6ba60	0x0	
__x64_sys_sigaltstack	0xffffffffa8d6bf80	0x0	
__x64_sys_rt_tgsigqueueinfo	0xffffffffa8d6eca0	0x0	
__x64_sys_tkill	0xffffffffa8d6ee50	0x0	
__x64_sys_tgkill	0xffffffffa8d6ef30	0x0	
__x64_sys_rt_sigqueueinfo	0xffffffffa8d6f520	0x0	
__x64_sys_kill	0xffffffffa8d6f830	0x0	
__x64_sys_rt_sigtimedwait	0xffffffffa8d71a00	0x0	
__x64_sys_pidfd_send_signal	0xffffffffa8d72490	0x0	
__x64_sys_rt_sigaction	0xffffffffa8d730b0	0x0	
__x64_sys_umask	0xffffffffa8d73490	0x0	
__x64_sys_getpriority	0xffffffffa8d73840	0x0	
__do_sys_gettid	0xffffffffa8d738a0	0x0	
__ia32_sys_gettid	0xffffffffa8d738a0	0x0	
__x64_sys_gettid	0xffffffffa8d738a0	0x0	
__do_sys_getpid	0xffffffffa8d738e0	0x0	
__ia32_sys_getpid	0xffffffffa8d738e0	0x0	
__x64_sys_getpid	0xffffffffa8d738e0	0x0	
__do_sys_getppid	0xffffffffa8d73920	0x0	
__ia32_sys_getppid	0xffffffffa8d73920	0x0	
__x64_sys_getppid	0xffffffffa8d73920	0x0	
__x64_sys_setpriority	0xffffffffa8d73d30	0x0	
__do_sys_getuid	0xffffffffa8d73e20	0x0	
__ia32_sys_getuid	0xffffffffa8d73e20	0x0	
