# key	a	b	extra
cls_bpf	0x6000	0xffffffffc0a68000	Live
sch_ingress	0x5000	0xffffffffc0a66000	Live
xt_MASQUERADE	0x4000	0xffffffffc05fa000	Live
bridge	0x65000	0xffffffffc0a30000	Live
xt_set	0x5000	0xffffffffc05fd000	Live
ip_set	0xf000	0xffffffffc0a2a000	Live
nft_chain_nat	0x3000	0xffffffffc05fc000	Live
nf_nat	0xf000	0xffffffffc0a24000	Live
xt_addrtype	0x3000	0xffffffffc05fb000	Live
xfrm_user	0x10000	0xffffffffc0a1b000	Live
xfrm_algo	0x4000	0xffffffffc0574000	Live
tls	0x26000	0xffffffffc05e8000	Live
overlay	0x35000	0xffffffffc0a00000	Live
8021q	0xb000	0xffffffffc05e3000	Live
garp	0x5000	0xffffffffc05e1000	Live
mrp	0x5000	0xffffffffc05df000	Live
stp	0x3000	0xffffffffc05de000	Live
llc	0x4000	0xffffffffc0571000	Live
mana_ib	0x13000	0xffffffffc05d6000	Live
ib_uverbs	0x30000	0xffffffffc05bf000	Live
ib_core	0x7d000	0xffffffffc0589000	Live
xt_owner	0x3000	0xffffffffc0452000	Live
xt_tcpudp	0x4000	0xffffffffc0454000	Live
xt_conntrack	0x3000	0xffffffffc0588000	Live
nf_conntrack	0x2e000	0xffffffffc0575000	Live
nf_defrag_ipv6	0x6000	0xffffffffc0572000	Live
nf_defrag_ipv4	0x3000	0xffffffffc0570000	Live
nft_compat	0x5000	0xffffffffc056e000	Live
nf_tables	0x5b000	0xffffffffc0538000	Live
binfmt_misc	0x6000	0xffffffffc0536000	Live
nls_iso8859_1	0x3000	0xffffffffc0450000	Live
kvm_intel	0x88000	0xffffffffc04e8000	Live
kvm	0x157000	0xffffffffc0458000	Live
irqbypass	0x3000	0xffffffffc0441000	Live
polyval_clmulni	0x3000	0xffffffffc0422000	Live
joydev	0x8000	0xffffffffc0455000	Live
hid_generic	0x3000	0xffffffffc0433000	Live
serio_raw	0x5000	0xffffffffc0416000	Live
hid_hyperv	0x4000	0xffffffffc0453000	Live
ghash_clmulni_intel	0x3000	0xffffffffc0451000	Live
aesni_intel	0x17000	0xffffffffc0442000	Live
hv_netvsc	0x1c000	0xffffffffc0434000	Live
hid	0x3d000	0xffffffffc0423000	Live
hyperv_keyboard	0x3000	0xffffffffc0421000	Live
hyperv_drm	0x5000	0xffffffffc041f000	Live
sch_fq_codel	0x6000	0xffffffffc041c000	Live
dm_multipath	0xb000	0xffffffffc0417000	Live
msr	0x3000	0xffffffffc0415000	Live
efi_pstore	0x3000	0xffffffffc040b000	Live
nvme_fabrics	0x9000	0xffffffffc0412000	Live
nfnetlink	0x5000	0xffffffffc0410000	Live
ip_tables	0x8000	0xffffffffc040c000	Live
x_tables	0xf000	0xffffffffc0406000	Live
autofs4	0xe000	0xffffffffc0400000	Live
