# key	a	b	extra
6lowpan	0x0	0x0	kernel/net/6lowpan/6lowpan
8021q	0x0	0x0	kernel/net/8021q/8021q
8139cp	0x0	0x0	kernel/drivers/net/ethernet/realtek/8139cp
8139too	0x0	0x0	kernel/drivers/net/ethernet/realtek/8139too
842	0x0	0x0	kernel/crypto/842
842_compress	0x0	0x0	kernel/lib/842/842_compress
842_decompress	0x0	0x0	kernel/lib/842/842_decompress
9p	0x0	0x0	kernel/fs/9p/9p
9pnet	0x0	0x0	kernel/net/9p/9pnet
9pnet_fd	0x0	0x0	kernel/net/9p/9pnet_fd
9pnet_rdma	0x0	0x0	kernel/net/9p/9pnet_rdma
9pnet_virtio	0x0	0x0	kernel/net/9p/9pnet_virtio
BusLogic	0x0	0x0	kernel/drivers/scsi/BusLogic
aacraid	0x0	0x0	kernel/drivers/scsi/aacraid/aacraid
acpi_extlog	0x0	0x0	kernel/drivers/acpi/acpi_extlog
acpi_ipmi	0x0	0x0	kernel/drivers/acpi/acpi_ipmi
acpi_pad	0x0	0x0	kernel/drivers/acpi/acpi_pad
act_bpf	0x0	0x0	kernel/net/sched/act_bpf
act_connmark	0x0	0x0	kernel/net/sched/act_connmark
act_csum	0x0	0x0	kernel/net/sched/act_csum
act_ct	0x0	0x0	kernel/net/sched/act_ct
act_ctinfo	0x0	0x0	kernel/net/sched/act_ctinfo
act_gact	0x0	0x0	kernel/net/sched/act_gact
act_gate	0x0	0x0	kernel/net/sched/act_gate
act_mirred	0x0	0x0	kernel/net/sched/act_mirred
act_mpls	0x0	0x0	kernel/net/sched/act_mpls
act_nat	0x0	0x0	kernel/net/sched/act_nat
act_pedit	0x0	0x0	kernel/net/sched/act_pedit
act_police	0x0	0x0	kernel/net/sched/act_police
act_sample	0x0	0x0	kernel/net/sched/act_sample
act_simple	0x0	0x0	kernel/net/sched/act_simple
act_skbedit	0x0	0x0	kernel/net/sched/act_skbedit
act_skbmod	0x0	0x0	kernel/net/sched/act_skbmod
act_tunnel_key	0x0	0x0	kernel/net/sched/act_tunnel_key
act_vlan	0x0	0x0	kernel/net/sched/act_vlan
adiantum	0x0	0x0	kernel/crypto/adiantum
aegis128	0x0	0x0	kernel/crypto/aegis128
aegis128_aesni	0x0	0x0	kernel/arch/x86/crypto/aegis128_aesni
aesni_intel	0x0	0x0	kernel/arch/x86/crypto/aesni_intel
af_alg	0x0	0x0	kernel/crypto/af_alg
af_key	0x0	0x0	kernel/net/key/af_key
af_packet_diag	0x0	0x0	kernel/net/packet/af_packet_diag
ah4	0x0	0x0	kernel/net/ipv4/ah4
ah6	0x0	0x0	kernel/net/ipv6/ah6
ahci	0x0	0x0	kernel/drivers/ata/ahci
ahci_platform	0x0	0x0	kernel/drivers/ata/ahci_platform
algif_aead	0x0	0x0	kernel/crypto/algif_aead
algif_hash	0x0	0x0	kernel/crypto/algif_hash
algif_rng	0x0	0x0	kernel/crypto/algif_rng
algif_skcipher	0x0	0x0	kernel/crypto/algif_skcipher
ansi_cprng	0x0	0x0	kernel/crypto/ansi_cprng
appletalk	0x0	0x0	kernel/net/appletalk/appletalk
aria_aesni_avx2_x86_64	0x0	0x0	kernel/arch/x86/crypto/aria_aesni_avx2_x86_64
aria_aesni_avx_x86_64	0x0	0x0	kernel/arch/x86/crypto/aria_aesni_avx_x86_64
aria_generic	0x0	0x0	kernel/crypto/aria_generic
aria_gfni_avx512_x86_64	0x0	0x0	kernel/arch/x86/crypto/aria_gfni_avx512_x86_64
arp_tables	0x0	0x0	kernel/net/ipv4/netfilter/arp_tables
arpt_mangle	0x0	0x0	kernel/net/ipv4/netfilter/arpt_mangle
arptable_filter	0x0	0x0	kernel/net/ipv4/netfilter/arptable_filter
ast	0x0	0x0	kernel/drivers/gpu/drm/ast/ast
async_memcpy	0x0	0x0	kernel/crypto/async_tx/async_memcpy
async_pq	0x0	0x0	kernel/crypto/async_tx/async_pq
async_raid6_recov	0x0	0x0	kernel/crypto/async_tx/async_raid6_recov
async_tx	0x0	0x0	kernel/crypto/async_tx/async_tx
async_xor	0x0	0x0	kernel/crypto/async_tx/async_xor
at24	0x0	0x0	kernel/drivers/misc/eeprom/at24
atm	0x0	0x0	kernel/net/atm/atm
auth_rpcgss	0x0	0x0	kernel/net/sunrpc/auth_gss/auth_rpcgss
authenc	0x0	0x0	kernel/crypto/authenc
authencesn	0x0	0x0	kernel/crypto/authencesn
autofs4	0x0	0x0	kernel/fs/autofs/autofs4
ax25	0x0	0x0	kernel/net/ax25/ax25
bcache	0x0	0x0	kernel/drivers/md/bcache/bcache
be2net	0x0	0x0	kernel/drivers/net/ethernet/emulex/benet/be2net
bfq	0x0	0x0	kernel/block/bfq
binfmt_misc	0x0	0x0	kernel/fs/binfmt_misc
blake2b_generic	0x0	0x0	kernel/crypto/blake2b_generic
blocklayoutdriver	0x0	0x0	kernel/fs/nfs/blocklayout/blocklayoutdriver
blowfish_common	0x0	0x0	kernel/crypto/blowfish_common
blowfish_generic	0x0	0x0	kernel/crypto/blowfish_generic
blowfish_x86_64	0x0	0x0	kernel/arch/x86/crypto/blowfish_x86_64
bnx2x	0x0	0x0	kernel/drivers/net/ethernet/broadcom/bnx2x/bnx2x
bonding	0x0	0x0	kernel/drivers/net/bonding/bonding
br2684	0x0	0x0	kernel/net/atm/br2684
br_netfilter	0x0	0x0	kernel/net/bridge/br_netfilter
brd	0x0	0x0	kernel/drivers/block/brd
bridge	0x0	0x0	kernel/net/bridge/bridge
bsd_comp	0x0	0x0	kernel/drivers/net/ppp/bsd_comp
btrfs	0x0	0x0	kernel/fs/btrfs/btrfs
cachefiles	0x0	0x0	kernel/fs/cachefiles/cachefiles
caif_virtio	0x0	0x0	kernel/drivers/net/caif/caif_virtio
camellia_aesni_avx2	0x0	0x0	kernel/arch/x86/crypto/camellia_aesni_avx2
camellia_aesni_avx_x86_64	0x0	0x0	kernel/arch/x86/crypto/camellia_aesni_avx_x86_64
camellia_generic	0x0	0x0	kernel/crypto/camellia_generic
camellia_x86_64	0x0	0x0	kernel/arch/x86/crypto/camellia_x86_64
can	0x0	0x0	kernel/net/can/can
can_bcm	0x0	0x0	kernel/net/can/can_bcm
can_gw	0x0	0x0	kernel/net/can/can_gw
can_j1939	0x0	0x0	kernel/net/can/j1939/can_j1939
can_raw	0x0	0x0	kernel/net/can/can_raw
capsule_loader	0x0	0x0	kernel/drivers/firmware/efi/capsule_loader
cast5_avx_x86_64	0x0	0x0	kernel/arch/x86/crypto/cast5_avx_x86_64
cast5_generic	0x0	0x0	kernel/crypto/cast5_generic
cast6_avx_x86_64	0x0	0x0	kernel/arch/x86/crypto/cast6_avx_x86_64
cast6_generic	0x0	0x0	kernel/crypto/cast6_generic
cast_common	0x0	0x0	kernel/crypto/cast_common
ccm	0x0	0x0	kernel/crypto/ccm
ccp	0x0	0x0	kernel/drivers/crypto/ccp/ccp
ceph	0x0	0x0	kernel/fs/ceph/ceph
chacha	0x0	0x0	kernel/crypto/chacha
chacha20poly1305	0x0	0x0	kernel/crypto/chacha20poly1305
cifs	0x0	0x0	kernel/fs/smb/client/cifs
cifs_arc4	0x0	0x0	kernel/fs/smb/common/cifs_arc4
cifs_md4	0x0	0x0	kernel/fs/smb/common/cifs_md4
clip	0x0	0x0	kernel/net/atm/clip
cls_basic	0x0	0x0	kernel/net/sched/cls_basic
cls_bpf	0x0	0x0	kernel/net/sched/cls_bpf
cls_cgroup	0x0	0x0	kernel/net/sched/cls_cgroup
cls_flow	0x0	0x0	kernel/net/sched/cls_flow
cls_flower	0x0	0x0	kernel/net/sched/cls_flower
cls_fw	0x0	0x0	kernel/net/sched/cls_fw
cls_matchall	0x0	0x0	kernel/net/sched/cls_matchall
cls_route	0x0	0x0	kernel/net/sched/cls_route
cls_u32	0x0	0x0	kernel/net/sched/cls_u32
cmac	0x0	0x0	kernel/crypto/cmac
cordic	0x0	0x0	kernel/lib/math/cordic
cpuid	0x0	0x0	kernel/arch/x86/kernel/cpuid
crc32_cryptoapi	0x0	0x0	kernel/crypto/crc32_cryptoapi
crc8	0x0	0x0	kernel/lib/crc/crc8
crc_itu_t	0x0	0x0	kernel/lib/crc/crc_itu_t
cryptd	0x0	0x0	kernel/crypto/cryptd
crypto_engine	0x0	0x0	kernel/crypto/crypto_engine
crypto_user	0x0	0x0	kernel/crypto/crypto_user
curve25519_generic	0x0	0x0	kernel/crypto/curve25519_generic
curve25519_x86_64	0x0	0x0	kernel/arch/x86/crypto/curve25519_x86_64
cuse	0x0	0x0	kernel/fs/fuse/cuse
dca	0x0	0x0	kernel/drivers/dca/dca
defxx	0x0	0x0	kernel/drivers/net/fddi/defxx
des3_ede_x86_64	0x0	0x0	kernel/arch/x86/crypto/des3_ede_x86_64
des_generic	0x0	0x0	kernel/crypto/des_generic
dlm	0x0	0x0	kernel/fs/dlm/dlm
dm_bio_prison	0x0	0x0	kernel/drivers/md/dm_bio_prison
dm_bufio	0x0	0x0	kernel/drivers/md/dm_bufio
dm_cache	0x0	0x0	kernel/drivers/md/dm_cache
dm_cache_smq	0x0	0x0	kernel/drivers/md/dm_cache_smq
dm_clone	0x0	0x0	kernel/drivers/md/dm_clone
dm_crypt	0x0	0x0	kernel/drivers/md/dm_crypt
dm_delay	0x0	0x0	kernel/drivers/md/dm_delay
dm_ebs	0x0	0x0	kernel/drivers/md/dm_ebs
dm_era	0x0	0x0	kernel/drivers/md/dm_era
dm_flakey	0x0	0x0	kernel/drivers/md/dm_flakey
dm_historical_service_time	0x0	0x0	kernel/drivers/md/dm_historical_service_time
