# key	a	b	extra
8021q	0x1	0x0	
aesni_intel	0x1	0x0	
autofs4	0x1	0x0	
binfmt_misc	0x1	0x0	
bridge	0x1	0x0	
cls_bpf	0x1	0x0	
dm_multipath	0x1	0x0	
efi_pstore	0x1	0x0	
garp	0x1	0x0	
ghash_clmulni_intel	0x1	0x0	
hid	0x1	0x0	
hid_generic	0x1	0x0	
hid_hyperv	0x1	0x0	
hv_netvsc	0x1	0x0	
hyperv_drm	0x1	0x0	
hyperv_keyboard	0x1	0x0	
ib_core	0x1	0x0	
ib_uverbs	0x1	0x0	
ip_set	0x1	0x0	
ip_tables	0x1	0x0	
irqbypass	0x1	0x0	
joydev	0x1	0x0	
kvm	0x1	0x0	
kvm_intel	0x1	0x0	
llc	0x1	0x0	
mana_ib	0x1	0x0	
mrp	0x1	0x0	
msr	0x1	0x0	
nf_conntrack	0x1	0x0	
nf_defrag_ipv4	0x1	0x0	
nf_defrag_ipv6	0x1	0x0	
nf_nat	0x1	0x0	
nf_tables	0x1	0x0	
nfnetlink	0x1	0x0	
nft_chain_nat	0x1	0x0	
nft_compat	0x1	0x0	
nls_iso8859_1	0x1	0x0	
nvme_fabrics	0x1	0x0	
overlay	0x1	0x0	
polyval_clmulni	0x1	0x0	
sch_fq_codel	0x1	0x0	
sch_ingress	0x1	0x0	
serio_raw	0x1	0x0	
stp	0x1	0x0	
tls	0x1	0x0	
x_tables	0x1	0x0	
xfrm_algo	0x1	0x0	
xfrm_user	0x1	0x0	
xt_MASQUERADE	0x1	0x0	
xt_addrtype	0x1	0x0	
xt_conntrack	0x1	0x0	
xt_owner	0x1	0x0	
xt_set	0x1	0x0	
xt_tcpudp	0x1	0x0	
