# key	a	b	extra
1	0x0	0x0	
10	0x0	0x0	
1018	0x0	0x0	
1028	0x0	0x0	
1035	0x0	0x0	
1053	0x0	0x0	
1060	0x0	0x0	
107	0x0	0x0	
108	0x0	0x0	
109	0x0	0x0	
11	0x0	0x0	
110	0x0	0x0	
1107	0x0	0x0	
111	0x0	0x0	
1110	0x0	0x0	
1111	0x0	0x0	
1112	0x0	0x0	
1114	0x0	0x0	
1118	0x0	0x0	
1119	0x0	0x0	
112	0x0	0x0	
1144	0x0	0x0	
1164	0x0	0x0	
1165	0x0	0x0	
1183	0x0	0x0	
12	0x0	0x0	
1204	0x0	0x0	
1225	0x0	0x0	
13	0x0	0x0	
1342	0x0	0x0	
14	0x0	0x0	
15	0x0	0x0	
1576	0x0	0x0	
1580	0x0	0x0	
1581	0x0	0x0	
1582	0x0	0x0	
1583	0x0	0x0	
1584	0x0	0x0	
16	0x0	0x0	
161	0x0	0x0	
17	0x0	0x0	
1799	0x0	0x0	
18	0x0	0x0	
1802	0x0	0x0	
1804	0x0	0x0	
1805	0x0	0x0	
1806	0x0	0x0	
1807	0x0	0x0	
1815	0x0	0x0	
1816	0x0	0x0	
1817	0x0	0x0	
1818	0x0	0x0	
1820	0x0	0x0	
1823	0x0	0x0	
1824	0x0	0x0	
1825	0x0	0x0	
1826	0x0	0x0	
1827	0x0	0x0	
1828	0x0	0x0	
1829	0x0	0x0	
1830	0x0	0x0	
1831	0x0	0x0	
1833	0x0	0x0	
1836	0x0	0x0	
1856	0x0	0x0	
1857	0x0	0x0	
1858	0x0	0x0	
1859	0x0	0x0	
1860	0x0	0x0	
1861	0x0	0x0	
1863	0x0	0x0	
1864	0x0	0x0	
1865	0x0	0x0	
1866	0x0	0x0	
1867	0x0	0x0	
1868	0x0	0x0	
1869	0x0	0x0	
1870	0x0	0x0	
1875	0x0	0x0	
1876	0x0	0x0	
1877	0x0	0x0	
1878	0x0	0x0	
1879	0x0	0x0	
1880	0x0	0x0	
1881	0x0	0x0	
1882	0x0	0x0	
1883	0x0	0x0	
1884	0x0	0x0	
1885	0x0	0x0	
1886	0x0	0x0	
1887	0x0	0x0	
1888	0x0	0x0	
1889	0x0	0x0	
1890	0x0	0x0	
1892	0x0	0x0	
1894	0x0	0x0	
19	0x0	0x0	
193	0x0	0x0	
194	0x0	0x0	
195	0x0	0x0	
2	0x0	0x0	
20	0x0	0x0	
2005	0x0	0x0	
203	0x0	0x0	
205	0x0	0x0	
21	0x0	0x0	
210	0x0	0x0	
211	0x0	0x0	
2116	0x0	0x0	
212	0x0	0x0	
2120	0x0	0x0	
2121	0x0	0x0	
2122	0x0	0x0	
22	0x0	0x0	
227	0x0	0x0	
23	0x0	0x0	
230	0x0	0x0	
234	0x0	0x0	
236	0x0	0x0	
237	0x0	0x0	
238	0x0	0x0	
239	0x0	0x0	
24	0x0	0x0	
240	0x0	0x0	
244	0x0	0x0	
25	0x0	0x0	
26	0x0	0x0	
27	0x0	0x0	
28	0x0	0x0	
29	0x0	0x0	
298	0x0	0x0	
3	0x0	0x0	
30	0x0	0x0	
31	0x0	0x0	
32	0x0	0x0	
33	0x0	0x0	
34	0x0	0x0	
342	0x0	0x0	
343	0x0	0x0	
35	0x0	0x0	
36	0x0	0x0	
37	0x0	0x0	
38	0x0	0x0	
39	0x0	0x0	
4	0x0	0x0	
40	0x0	0x0	
41	0x0	0x0	
413	0x0	0x0	
42	0x0	0x0	
420	0x0	0x0	
43	0x0	0x0	
44	0x0	0x0	
45	0x0	0x0	
46	0x0	0x0	
47	0x0	0x0	
48	0x0	0x0	
49	0x0	0x0	
490	0x0	0x0	
5	0x0	0x0	
50	0x0	0x0	
51	0x0	0x0	
52	0x0	0x0	
53	0x0	0x0	
54	0x0	0x0	
540	0x0	0x0	
543	0x0	0x0	
544	0x0	0x0	
545	0x0	0x0	
546	0x0	0x0	
549	0x0	0x0	
55	0x0	0x0	
56	0x0	0x0	
57	0x0	0x0	
58	0x0	0x0	
59	0x0	0x0	
6	0x0	0x0	
60	0x0	0x0	
61	0x0	0x0	
62	0x0	0x0	
63	0x0	0x0	
64	0x0	0x0	
645	0x0	0x0	
65	0x0	0x0	
66	0x0	0x0	
67	0x0	0x0	
68	0x0	0x0	
69	0x0	0x0	
7	0x0	0x0	
70	0x0	0x0	
71	0x0	0x0	
72	0x0	0x0	
73	0x0	0x0	
733	0x0	0x0	
74	0x0	0x0	
75	0x0	0x0	
752	0x0	0x0	
757	0x0	0x0	
76	0x0	0x0	
760	0x0	0x0	
764	0x0	0x0	
77	0x0	0x0	
78	0x0	0x0	
79	0x0	0x0	
793	0x0	0x0	
796	0x0	0x0	
798	0x0	0x0	
8	0x0	0x0	
80	0x0	0x0	
808	0x0	0x0	
81	0x0	0x0	
811	0x0	0x0	
815	0x0	0x0	
82	0x0	0x0	
821	0x0	0x0	
828	0x0	0x0	
83	0x0	0x0	
831	0x0	0x0	
84	0x0	0x0	
847	0x0	0x0	
85	0x0	0x0	
854	0x0	0x0	
855	0x0	0x0	
856	0x0	0x0	
857	0x0	0x0	
858	0x0	0x0	
86	0x0	0x0	
868	0x0	0x0	
87	0x0	0x0	
871	0x0	0x0	
88	0x0	0x0	
888	0x0	0x0	
89	0x0	0x0	
891	0x0	0x0	
9	0x0	0x0	
90	0x0	0x0	
900	0x0	0x0	
901	0x0	0x0	
902	0x0	0x0	
91	0x0	0x0	
911	0x0	0x0	
92	0x0	0x0	
927	0x0	0x0	
93	0x0	0x0	
930	0x0	0x0	
935	0x0	0x0	
94	0x0	0x0	
948	0x0	0x0	
954	0x0	0x0	
96	0x0	0x0	
964	0x0	0x0	
965	0x0	0x0	
966	0x0	0x0	
