# key	a	b	extra
1	0x0	0x0	systemd
2	0x0	0x0	kthreadd
3	0x0	0x0	pool_workqueue_release
4	0x0	0x0	kworker/R-rcu_gp
5	0x0	0x0	kworker/R-sync_wq
6	0x0	0x0	kworker/R-kvfree_rcu_reclaim
7	0x0	0x0	kworker/R-slub_flushwq
8	0x0	0x0	kworker/R-netns
9	0x0	0x0	kworker/0:0-cgroup_release
10	0x0	0x0	kworker/0:0H-events_highpri
11	0x0	0x0	kworker/0:1-cgroup_release
12	0x0	0x0	kworker/u16:0-kvfree_rcu_reclaim
13	0x0	0x0	kworker/R-mm_percpu_wq
14	0x0	0x0	ksoftirqd/0
15	0x0	0x0	rcu_sched
16	0x0	0x0	rcu_exp_par_gp_kthread_worker/0
17	0x0	0x0	rcu_exp_gp_kthread_worker
18	0x0	0x0	migration/0
19	0x0	0x0	idle_inject/0
20	0x0	0x0	cpuhp/0
21	0x0	0x0	cpuhp/2
22	0x0	0x0	idle_inject/2
23	0x0	0x0	migration/2
24	0x0	0x0	ksoftirqd/2
25	0x0	0x0	kworker/2:0-cgroup_offline
26	0x0	0x0	kworker/2:0H-events_highpri
27	0x0	0x0	cpuhp/1
28	0x0	0x0	idle_inject/1
29	0x0	0x0	migration/1
30	0x0	0x0	ksoftirqd/1
31	0x0	0x0	kworker/1:0-events
32	0x0	0x0	kworker/1:0H-events_highpri
33	0x0	0x0	cpuhp/3
34	0x0	0x0	idle_inject/3
35	0x0	0x0	migration/3
36	0x0	0x0	ksoftirqd/3
37	0x0	0x0	kworker/3:0-cgroup_free
38	0x0	0x0	kworker/3:0H-events_highpri
39	0x0	0x0	kdevtmpfs
40	0x0	0x0	kworker/R-inet_frag_wq
41	0x0	0x0	rcu_tasks_rude_kthread
42	0x0	0x0	rcu_tasks_trace_kthread
43	0x0	0x0	kauditd
44	0x0	0x0	khungtaskd
45	0x0	0x0	oom_reaper
46	0x0	0x0	kworker/u16:1-async
47	0x0	0x0	kworker/u16:2-kvfree_rcu_reclaim
48	0x0	0x0	kworker/R-writeback
49	0x0	0x0	kcompactd0
50	0x0	0x0	ksmd
51	0x0	0x0	khugepaged
52	0x0	0x0	kworker/R-kblockd
53	0x0	0x0	kworker/R-blkcg_punt_bio
54	0x0	0x0	kworker/R-kintegrityd
55	0x0	0x0	irq/9-acpi
56	0x0	0x0	kworker/3:1-cgroup_free
57	0x0	0x0	kworker/1:1-cgroup_free
58	0x0	0x0	kworker/2:1-events
59	0x0	0x0	kworker/R-tpm_dev_wq
60	0x0	0x0	kworker/R-ata_sff
61	0x0	0x0	kworker/R-md
62	0x0	0x0	kworker/R-md_bitmap
63	0x0	0x0	kworker/R-edac-poller
64	0x0	0x0	kworker/R-hv_vmbus_con
65	0x0	0x0	kworker/R-hv_vmbus_rescind
66	0x0	0x0	kworker/R-hv_pri_chan
67	0x0	0x0	kworker/R-hv_sub_chan
68	0x0	0x0	kworker/R-devfreq_wq
69	0x0	0x0	watchdogd
70	0x0	0x0	kworker/R-quota_events_unbound
71	0x0	0x0	kworker/2:1H-events_highpri
72	0x0	0x0	kswapd0
73	0x0	0x0	ecryptfs-kthread
74	0x0	0x0	kworker/R-kthrotld
75	0x0	0x0	kworker/R-nfit
76	0x0	0x0	scsi_eh_0
