# key	a	b	extra
__x64_sys_getdents	0xffffffffa91921e0	0x0	0f1f440000554889e5415641554154534883ec304c8b7760488b5f6865488b05
__x64_sys_getdents64	0xffffffffa9192300	0x0	0f1f440000554889e5415641554154534883ec304c8b7760488b5f6865488b05
__x64_sys_kill	0xffffffffa8d6f830	0x0	0f1f44000055b905000000be010000004889e541554154534883ec38488b5768
__x64_sys_read	0xffffffffa9174ab0	0x0	0f1f44000055488b5760488b77688b7f704889e5e8e7feffff5de9d16ccd0090
__x64_sys_open	0xffffffffa91700d0	0x0	0f1f440000554889e54883ec20488b5768488b777065488b051bff7e02488945
__x64_sys_openat	0xffffffffa9170220	0x0	0f1f440000554889e54883ec20488b5760488b776865488b05cbfd7e02488945
__x64_sys_stat	0xffffffffa917cd30	0x0	0f1f44000055488b7768488b7f704889e5e82affffff5de954eacc000f1f4000
__x64_sys_lstat	0xffffffffa917d060	0x0	0f1f44000055488b7768488b7f704889e5e82affffff5dc3cccccccc0f1f4000
__x64_sys_newfstatat	0xffffffffa917d430	0x0	0f1f44000055488b5760488b77688b4f388b7f704889e5e854ffffff5de94ee3
__x64_sys_init_module	0xffffffffa8e5e0f0	0x0	0f1f44000055488b5760488b7768488b7f704889e5e806feffff5de990d6fe00
__x64_sys_finit_module	0xffffffffa8e5e5b0	0x0	0f1f440000554889e5415641554154534883ec084c8b7760488b5f704c8b6f68
__x64_sys_delete_module	0xffffffffa8e5eaf0	0x0	0f1f44000055488b7f704889e5e89efcffff5de998ccfe000f1f840000000000
filldir	0xffffffffa9191800	0x0	0f1f440000554889e541574989f789d6415641554189d541544589cc534889fb
filldir64	0xffffffffa9191650	0x0	0f1f440000554889e541574989f789d6415641554189d541544589cc534889fb
iterate_dir	0xffffffffa91919b0	0x0	0f1f440000554889e5415741564155415453488b47084c8b7f2048837840000f
tcp4_seq_show	0xffffffffa9c75ce0	0x0	0f1f440000554889e541574156415541544989fc534883ec10488b4718480595
tcp6_seq_show	0xffffffffa9d515f0	0x0	0f1f440000554889e541574156415541544989fc534883ec084883fe010f8499
udp4_seq_show	0xffffffffa9c89a70	0x0	0f1f440000554889e541574156415541544989fc534883ec18488b47184883c0
udp6_seq_show	0xffffffffa9d3f140	0x0	0f1f440000554889e54883fe01743e0fb796260300000fb74e0c4c8b4f70448b
proc_pid_readdir	0xffffffffa92404e0	0x0	0f1f440000554889e541574156415541544152534883ec2048897db065488b05
vfs_read	0xffffffffa91739b0	0x0	0f1f440000554889e54157415641554989fd4154534883ec6865488b0537c67e
commit_creds	0xffffffffa8d95ad0	0x0	0f1f440000554889e54155654c8b2d35a5bc024154534d8ba5380c00004d39a5
