# key	a	b	extra
0	0xffffffffa9174ab0	0x0	__x64_sys_read
1	0xffffffffa9174c10	0x0	__x64_sys_write
2	0xffffffffa91700d0	0x0	__x64_sys_open
3	0xffffffffa916d230	0x0	__x64_sys_close
4	0xffffffffa917ce50	0x0	__x64_sys_newstat
5	0xffffffffa917cb50	0x0	__x64_sys_newfstat
6	0xffffffffa917d180	0x0	__x64_sys_newlstat
7	0xffffffffa9194ae0	0x0	__x64_sys_poll
8	0xffffffffa9170f10	0x0	__x64_sys_lseek
9	0xffffffffa8cc78f0	0x0	__x64_sys_mmap
10	0xffffffffa90b3920	0x0	__x64_sys_mprotect
11	0xffffffffa90acbf0	0x0	__x64_sys_munmap
12	0xffffffffa90ad9f0	0x0	__x64_sys_brk
13	0xffffffffa8d730b0	0x0	__x64_sys_rt_sigaction
14	0xffffffffa8d6ba60	0x0	__x64_sys_rt_sigprocmask
15	0xffffffffa8cbcf00	0x0	__x64_sys_rt_sigreturn
16	0xffffffffa9191060	0x0	__x64_sys_ioctl
17	0xffffffffa9173d30	0x0	__x64_sys_pread64
18	0xffffffffa9174820	0x0	__x64_sys_pwrite64
19	0xffffffffa9171db0	0x0	__x64_sys_readv
20	0xffffffffa9172770	0x0	__x64_sys_writev
21	0xffffffffa916cbd0	0x0	__x64_sys_access
22	0xffffffffa9182f80	0x0	__x64_sys_pipe
23	0xffffffffa91953e0	0x0	__x64_sys_select
24	0xffffffffa8dce400	0x0	__x64_sys_sched_yield
25	0xffffffffa90b6340	0x0	__x64_sys_mremap
26	0xffffffffa90b66f0	0x0	__x64_sys_msync
27	0xffffffffa90a8d40	0x0	__x64_sys_mincore
28	0xffffffffa90f73f0	0x0	__x64_sys_madvise
29	0xffffffffa9356130	0x0	__x64_sys_shmget
30	0xffffffffa93585b0	0x0	__x64_sys_shmat
31	0xffffffffa9357880	0x0	__x64_sys_shmctl
32	0xffffffffa91a17c0	0x0	__x64_sys_dup
33	0xffffffffa91a1b10	0x0	__x64_sys_dup2
34	0xffffffffa8d69d70	0x0	__x64_sys_pause
35	0xffffffffa8e6c010	0x0	__x64_sys_nanosleep
36	0xffffffffa8e7ec40	0x0	__x64_sys_getitimer
37	0xffffffffa8e7e6c0	0x0	__x64_sys_alarm
38	0xffffffffa8e7e790	0x0	__x64_sys_setitimer
39	0xffffffffa8d738e0	0x0	__x64_sys_getpid
40	0xffffffffa9173350	0x0	__x64_sys_sendfile64
41	0xffffffffa9b34120	0x0	__x64_sys_socket
42	0xffffffffa9b34d40	0x0	__x64_sys_connect
43	0xffffffffa9b34b50	0x0	__x64_sys_accept
44	0xffffffffa9b35300	0x0	__x64_sys_sendto
45	0xffffffffa9b35570	0x0	__x64_sys_recvfrom
